date,raw,shown
2026-07-01,0,0
2026-07-02,0,1
2026-07-03,4,3
2026-07-04,10,6
2026-07-05,12,8
2026-07-06,12,9
2026-07-07,12,10
2026-07-08,13,11
2026-07-09,13,12
2026-07-10,13,12
2026-07-11,13,12
2026-07-12,14,13
2026-07-13,15,14
2026-07-14,15,15
2026-07-15,16,16
2026-07-16,17,17
2026-07-17,18,18
2026-07-18,20,19
2026-07-19,24,21
2026-07-20,26,23
2026-07-21,26,25
2026-07-22,29,28
2026-07-23,33,32
2026-07-24,37,36
2026-07-25,39,41
2026-07-26,39,44
2026-07-27,56,52
2026-07-28,81,65
2026-07-29,95,78
2026-07-30,116,93
2026-07-31,122,106
2026-08-01,164,126
2026-08-02,165,141
2026-08-03,172,156
2026-08-04,188,171
2026-08-05,212,188
2026-08-06,223,203
2026-08-07,236,217
2026-08-08,298,242
2026-08-09,305,262
2026-08-10,311,277
2026-08-11,312,288
2026-08-12,313,296
2026-08-13,316,306
2026-08-14,318,314
2026-08-15,319,320
2026-08-16,323,335
2026-08-17,324,358
2026-08-18,404,418
2026-08-19,411,467
2026-08-20,417,504
2026-08-21,634,586
2026-08-22,880,706
2026-08-23,1405,922
2026-08-24,1524,1104
2026-08-25,1536,1235
2026-08-26,1564,1332
2026-08-27,1585,1358
2026-08-28,1590,1388
2026-08-29,1593,1429
2026-08-30,1594,1485
2026-08-31,1554,1554
